,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
Overall_rating,0.797,0.101,-0.046,0.03,0.36,0.298,-0.061,-0.024,-0.07,0.16
Location_rating,0.262,0.148,0.009,0.112,0.142,0.649,-0.136,-0.034,0.062,0.167
Cleanliness_rating,0.866,0.109,-0.104,-0.014,0.031,0.047,-0.158,-0.072,0.026,-0.065
Rooms_rating,0.917,0.034,-0.038,-0.018,-0.033,-0.029,0.057,-0.176,0.121,-0.014
Service_rating,0.491,0.114,-0.148,0.087,0.731,0.227,-0.02,-0.089,0.083,0.13
Sleepquality_rating,0.833,-0.012,0.031,0.046,0.18,0.171,-0.038,0.018,0.197,-0.083
Value_rating,0.612,0.032,-0.264,0.078,0.303,0.377,0.0,0.092,0.077,0.068
Hotel.stars,-0.119,-0.022,0.818,0.19,-0.046,-0.128,0.006,0.132,-0.12,0.057
Hotel.price,-0.019,0.073,0.711,-0.226,-0.052,0.11,-0.061,0.08,0.036,0.043
Hotel.distance,-0.087,-0.109,-0.058,0.222,-0.012,-0.118,0.721,0.19,0.038,0.138
Hotel.noofrooms,-0.178,-0.052,0.273,-0.059,-0.065,-0.033,0.274,0.697,0.137,0.198
Destination_country_GDP,0.053,0.798,0.069,-0.033,0.094,0.049,-0.056,0.099,-0.056,0.106
Destination_country_pdi,-0.113,-0.852,-0.011,0.099,-0.071,-0.001,-0.058,0.042,0.205,-0.063
Destination_country_idv,0.005,0.866,-0.015,0.074,-0.043,0.151,-0.173,-0.095,0.141,0.082
Destination_country_mas,0.13,-0.06,-0.043,0.037,0.032,0.039,0.029,0.066,0.672,-0.061
Destination_country_uai,0.011,-0.142,-0.067,0.104,-0.059,-0.114,-0.107,-0.109,0.07,-0.519
Destination_country_lto,0.152,0.231,0.048,0.649,0.187,0.11,0.059,-0.003,0.039,-0.115
Destination_country_ivr,0.065,0.201,0.075,-0.812,0.059,-0.041,-0.177,0.044,-0.036,0.067
